01	epTitle	Guy	23
01	epTitle	Girl	22
01	epTitle	Cop	16
01	epTitle	Kid	2
01	epTitle	Girls	3
01	epTitle	Creep	2
01	epTitle	Driver	8
01	epTitle	Luca	40
01	epTitle	Giorno	88
01	epTitle	Koichi	90
01	epTitle	Whack,Sfx	1
01	epTitle	Jotaro	25
01	epTitle	Act	1
01	epTitle	Sign	2
01	epTitle	Glob	1
01	epTitle	Bruno	57
02	epTitle	Girl	2
02	epTitle	Mom	2
02	epTitle	Shiobana,Sign	1
02	epTitle	Guy	29
02	epTitle	Dad	11
02	epTitle	Kid	16
02	epTitle	Popo	1
02	epTitle	Kids	1
02	epTitle	Giorno	94
02	epTitle	X	5
02	epTitle	Lady	2
02	epTitle	Bruno	92
02	epTitle	Gold	3
02	epTitle	Bagyah,Sfx	1
02	epTitle	Rumble,Sfx	2
02	epTitle	Whoosh,Sfx	3
02	epTitle	Boom,Sfx	1
02	epTitle	Sign	1
02	epTitle	Kabaam,Sfx	2
02	epTitle	Guy C	1
02	epTitle	Jump,Sfx	1
02	epTitle	Thud,Sfx	1
03	epTitle	Giorno	100
03	epTitle	Bruno	33
03	epTitle	Kid	1
03	epTitle	Kids	3
03	epTitle	Loom,Sfx	2
03	epTitle	Cop	5
03	epTitle	Lady	24
03	epTitle	Polpo	49
03	epTitle	Sign	2
03	epTitle	Guy	2
03	epTitle	Old	18
03	epTitle	Koichi	14
03	epTitle	Whoosh,Sfx	1
03	epTitle	Black	9
04	epTitle	Giorno	122
04	epTitle	Black	15
04	epTitle	Girono	2
04	epTitle	Koichi	83
04	epTitle	Reverb	2
04	epTitle	Bam,Sfx	1
04	epTitle	Sign	2
04	epTitle	The_Next_Day,Sign	2
04	epTitle	Polpo	35
04	epTitle	Jotaro	5
04	epTitle	Bruno	3
05	epTitle	Bruno	115
05	epTitle	Guy	16
05	epTitle	Girl	1
05	epTitle	Sign	1
05	epTitle	Sale	37
05	epTitle	Mario	9
05	epTitle	Rome___a_m_,Sign	1
05	epTitle	Nara	34
05	epTitle	Waiter	2
05	epTitle	Fugo	44
05	epTitle	Mista	50
05	epTitle	Crunch,Sfx	2
05	epTitle	Bg fugo	1
05	epTitle	Abba	44
05	epTitle	Guy bg	1
05	epTitle	Menini	11
05	epTitle	Msita	1
05	epTitle	Giorno	40
05	epTitle	Lady	3
05	epTitle	Scooter	2
05	epTitle	Naran	1
05	epTitle	Naraa	1
06	epTitle	Abba	88
06	epTitle	Guy	9
06	epTitle	Sign	3
06	epTitle	Isacco	1
06	epTitle	Pimp	21
06	epTitle	Girl	2
06	epTitle	Bruno	125
06	epTitle	Sfx	1
06	epTitle	Nara	8
06	epTitle	Bruno bg	1
06	epTitle	Crunch,Sfx	1
06	epTitle	Sign top	1
06	epTitle	Sign bot	1
06	epTitle	Bzzzzzz,Sfx	1
06	epTitle	Mario	34
06	epTitle	Baaaaaa,Sfx	1
06	epTitle	Fwip,Sfx	1
06	epTitle	Pop,Sfx	1
07	epTitle	Naranr	1
07	epTitle	Naran	9
07	epTitle	Fugo	9
07	epTitle	Abba	14
07	epTitle	Mist	9
07	epTitle	Bruno	13
07	epTitle	Mista	108
07	epTitle	Nara	8
07	epTitle	Mario	9
07	epTitle	Sale	9
07	epTitle	Sign	2
07	epTitle	B*llet	8
07	epTitle	B*ll*ts	5
07	epTitle	Guy	14
07	epTitle	Menace,Sfx	1
07	epTitle	Bazoo,Sfx	1
08	epTitle	Mista	95
