28	epTitle		2
28	epTitle	Sign	1
28	epTitle	Trish	48
28	epTitle	Form	1
28	epTitle	Nara	17
28	epTitle	Illu	1
28	epTitle	Pro	1
28	epTitle	Pesci	1
28	epTitle	Melone	2
28	epTitle	Ghia	1
28	epTitle	Setting	17
28	epTitle	Fugo	8
28	epTitle	Bruno	45
28	epTitle	Boss	36
28	epTitle	Abba	12
28	epTitle	Spice	19
28	epTitle	Crunch,Sfx	3
28	epTitle	Squalo	9
28	epTitle	Tiziano	1
28	epTitle	Mista	11
28	epTitle	Rome___a_m_,Nara	1
28	epTitle	Guy	1
28	epTitle	Doppio	6
28	epTitle	Risotto	7
28	epTitle	Dopp	3
28	epTitle	Riso	9
28	epTitle	Kid	5
28	epTitle	Dop	1
28	epTitle	Cop	7
28	epTitle	What_the_hell_is	22
28	epTitle	Giorno	13
28	epTitle	Peri	1
28	epTitle	Spicy	1
28	epTitle	Rome___a_m_,Sign	2
28	epTitle	Baaaaaa,Sfx	1
28	epTitle	What_the_hell_is,Fugo	1
28	epTitle	Sfx	6
28	epTitle	Gold	1
