13	epTitle	Rumble,Sfx	1
13	epTitle	Sfx	3
13	epTitle	Bruno	54
13	epTitle	Giorno	57
13	epTitle	Gold	1
13	epTitle	Bagyah,Sfx	1
13	epTitle	Polpo	10
13	epTitle	Black	6
13	epTitle	Koichi	11
13	epTitle	Bam,Sfx	2
13	epTitle	Mista	28
13	epTitle	Nara	13
13	epTitle	Fugo	10
13	epTitle	Abba	38
13	epTitle	Crunch,Sfx	1
13	epTitle	Mario	1
13	epTitle	Baaaaaa,Sfx	1
13	epTitle	Fwip,Sfx	1
13	epTitle	Pop,Sfx	1
13	epTitle	B*ll*ts	5
13	epTitle	Bazoo,Sfx	1
13	epTitle	Sale	22
13	epTitle	B*llet	1
13	epTitle	Five	3
13	epTitle	Seven	8
13	epTitle	All	1
13	epTitle	Six	2
13	epTitle	One	3
13	epTitle	Plop,Sfx	1
13	epTitle	Peri	6
13	epTitle	Form	7
13	epTitle	Illuso	1
13	epTitle	Illu	1
